,RMSD,MCQ,TM-score
normalized_trrosettarna_rp14_bound_1.pdb,2.082,29.36,0.806
normalized_trrosettarna_rp14_bound_3.pdb,2.385,36.02,0.786
normalized_vfoldpipeline_rp14_bound.pdb,2.631,17.31,0.665
normalized_trrosettarna_rp14_bound_4.pdb,2.699,31.63,0.778
normalized_trrosettarna_rp14_bound_2.pdb,2.76,29.19,0.764
normalized_best_rp14_bound_52.pdb,5.089,21.4,0.425
normalized_best_rp14_bound_46.pdb,5.932,20.67,0.43
normalized_best_rp14_bound_38.pdb,5.978,18.77,0.336
normalized_rhofold_rp14_bound.pdb,6.433,57.6,0.31
normalized_best_rp14_bound_55.pdb,7.035,21.8,0.43
normalized_best_rp14_bound_17.pdb,7.559,23.38,0.344
normalized_best_rp14_bound_37.pdb,7.666,22.32,0.347
normalized_best_rp14_bound_40.pdb,7.687,19.26,0.313
normalized_best_rp14_bound_50.pdb,7.718,23.79,0.297
normalized_best_rp14_bound_51.pdb,7.763,18.86,0.308
normalized_best_rp14_bound_43.pdb,8.16,18.79,0.306
normalized_best_rp14_bound_29.pdb,8.366,22.81,0.344
normalized_alphafold3_rp14_bound_1.pdb,8.525,12.6,0.358
normalized_alphafold3_rp14_bound_4.pdb,9.108,12.57,0.342
normalized_best_rp14_bound_21.pdb,9.769,21.59,0.301
normalized_best_rp14_bound_25.pdb,9.769,21.59,0.301
normalized_alphafold3_rp14_bound_3.pdb,9.912,12.69,0.347
normalized_trrosettarna_rp14_bound_5.pdb,9.915,56.94,0.22
normalized_alphafold3_rp14_bound_2.pdb,10.329,12.63,0.323
normalized_alphafold3_rp14_bound_5.pdb,10.799,12.65,0.359
normalized_best_rp14_bound_33.pdb,10.926,19.01,0.388
normalized_best_rp14_bound_24.pdb,11.002,20.34,0.313
normalized_best_rp14_bound_39.pdb,11.255,23.48,0.237
normalized_best_rp14_bound_41.pdb,11.26,23.41,0.324
normalized_best_rp14_bound_23.pdb,11.568,18.74,0.297
normalized_best_rp14_bound_57.pdb,11.568,18.74,0.297
normalized_best_rp14_bound_63.pdb,11.694,21.18,0.288
normalized_best_rp14_bound_45.pdb,11.73,25.92,0.28
normalized_best_rp14_bound_61.pdb,11.854,19.43,0.27
